0;0;0;0;land;false;unknown;0
1;108;161;246;land;true;plains;1
2;230;149;174;land;false;desert;3
3;235;141;232;land;true;jungle;3
4;162;121;246;land;true;plains;1
5;124;184;204;land;false;hills;1
6;194;157;247;land;false;forest;1
7;241;131;251;land;false;hills;3
8;145;167;206;land;true;plains;1
9;208;252;133;land;true;plains;1
10;143;205;177;land;false;forest;1
11;227;169;171;land;false;plains;1
12;242;207;91;land;false;forest;1
13;250;179;98;land;false;plains;2
14;155;252;97;land;false;forest;1
15;234;149;220;land;false;plains;1
16;121;246;234;land;false;forest;1
17;199;249;204;land;false;plains;1
18;136;244;160;land;false;hills;1
19;204;210;121;land;false;plains;1
20;221;172;125;land;true;plains;2
21;225;187;152;land;true;mountain;4
22;250;88;218;land;false;hills;1
23;188;176;204;land;false;desert;1
24;186;222;225;land;true;plains;5
25;203;219;180;land;false;mountain;1
26;205;177;157;land;false;mountain;4
27;151;218;147;land;false;plains;1
28;143;188;183;land;true;marsh;1
29;204;250;64;land;false;marsh;1
30;242;135;143;land;false;plains;1
31;219;149;181;land;false;forest;1
32;252;220;55;land;true;hills;1
33;239;232;58;land;false;plains;3
34;237;108;182;land;false;plains;1
35;171;184;239;land;false;mountain;3
36;146;215;240;land;false;mountain;4
37;174;254;150;land;false;plains;1
38;158;134;234;land;false;marsh;1
39;173;208;178;land;false;plains;2
40;222;117;203;land;false;hills;1
41;195;139;183;land;false;mountain;2
42;234;241;190;land;true;plains;5
43;245;234;248;land;false;plains;1
44;191;231;90;land;false;hills;3
45;139;248;246;land;false;plains;4
46;85;186;252;land;false;plains;5
47;240;206;129;land;false;forest;1
48;120;234;196;land;false;forest;1
49;101;212;210;land;false;mountain;2
50;154;226;210;land;false;plains;1
51;134;243;228;land;false;mountain;1
52;167;236;188;land;false;plains;1
53;245;107;249;land;false;hills;1
54;190;172;195;land;false;forest;1
55;67;250;247;land;false;forest;1
56;99;245;228;land;false;forest;1
57;203;144;161;land;false;plains;1
58;100;222;201;land;false;plains;1
59;238;171;107;land;false;plains;1
60;250;162;214;land;false;forest;1
61;233;177;223;land;false;hills;1
62;157;252;147;land;false;plains;1
63;218;41;244;land;false;plains;1
64;200;254;242;land;false;hills;3
65;89;250;189;land;false;marsh;1
66;238;209;242;land;false;forest;1
67;211;204;90;land;true;plains;2
68;100;194;238;land;false;forest;1
69;237;223;73;land;false;plains;1
70;184;106;250;land;false;forest;1
71;211;114;224;land;false;mountain;3
72;165;238;229;land;false;plains;1
73;218;191;221;land;true;plains;3
74;166;183;196;land;false;forest;1
75;242;167;202;land;true;mountain;2
76;250;229;158;land;false;hills;1
77;142;226;140;land;false;plains;1
78;223;170;223;land;false;jungle;2
79;199;214;193;land;false;mountain;1
80;195;96;247;land;false;mountain;1
81;199;138;230;land;false;hills;1
82;193;231;147;land;true;plains;2
83;240;158;156;land;false;forest;1
84;237;46;238;land;false;plains;4
85;138;240;226;land;true;plains;3
86;226;239;243;land;false;plains;1
87;197;246;58;land;false;forest;1
88;202;184;170;land;true;mountain;4
89;128;181;225;land;false;plains;1
90;192;83;246;land;false;forest;1
91;94;211;249;land;false;plains;1
92;244;104;210;land;false;plains;1
93;212;194;184;land;false;plains;1
94;127;235;159;land;false;plains;1
95;199;242;61;land;false;plains;3
96;213;213;80;land;false;forest;1
97;151;231;184;land;true;plains;1
98;243;167;224;land;false;plains;1
99;181;234;200;land;false;forest;1
100;247;73;186;land;false;mountain;3
101;200;76;245;land;true;forest;1
102;145;244;231;land;false;urban;1
103;53;227;239;land;false;forest;4
104;248;179;114;land;false;desert;1
105;172;172;241;land;false;plains;2
106;68;240;224;land;false;mountain;1
107;244;145;209;land;false;plains;1
108;248;137;226;land;false;forest;1
109;172;234;237;land;false;plains;1
110;232;223;187;land;false;plains;1
111;251;190;102;land;true;plains;5
112;251;118;167;land;true;plains;5
113;184;235;97;land;false;plains;1
114;242;228;44;land;false;plains;1
115;240;217;133;land;false;plains;1
116;186;120;234;land;false;plains;1
117;248;251;211;land;false;hills;2
118;209;106;198;land;false;forest;1
119;192;63;246;land;false;plains;1
120;103;197;201;land;false;plains;1
121;207;147;152;land;false;forest;3
122;169;164;210;land;false;forest;1
123;161;178;227;land;false;mountain;1
124;173;180;211;land;true;marsh;1
125;243;244;31;land;false;plains;1
126;130;158;233;land;false;forest;4
127;196;207;182;land;true;plains;3
128;176;253;121;land;true;forest;4
129;167;245;180;land;false;hills;1
130;133;170;230;land;false;hills;1
131;159;149;236;land;false;plains;2
132;148;225;250;land;false;forest;1
133;163;185;190;land;false;plains;3
134;235;216;172;land;true;plains;5
135;116;191;243;land;false;plains;4
136;192;254;64;land;false;plains;1
137;128;226;223;land;false;forest;1
138;105;223;212;land;false;hills;1
139;196;201;197;land;false;plains;1
140;222;58;239;land;false;plains;1
141;218;219;130;land;false;mountain;2
142;171;229;185;land;false;plains;1
143;210;228;107;land;false;plains;1
144;92;244;190;land;false;forest;1
145;212;200;247;land;true;plains;4
146;223;211;107;land;false;hills;1
147;244;26;244;land;false;plains;1
148;228;179;141;land;false;forest;4
149;159;210;183;land;true;plains;5
150;110;204;240;land;false;mountain;1
151;197;177;132;land;false;plains;1
